filepath,label
synthbuster/stable-diffusion-xl/r0b03e77at.png,1
synthbuster/stable-diffusion-xl/r1de108dft.png,1
synthbuster/stable-diffusion-xl/r155fe1fat.png,1
synthbuster/stable-diffusion-xl/r1b8b1b14t.png,1
synthbuster/stable-diffusion-xl/r14556dabt.png,1
synthbuster/stable-diffusion-xl/r1d4377f7t.png,1
synthbuster/stable-diffusion-xl/r1c24a571t.png,1
synthbuster/stable-diffusion-xl/r02f5c155t.png,1
synthbuster/stable-diffusion-xl/r101e18b6t.png,1
synthbuster/stable-diffusion-xl/r1461e2d7t.png,1
synthbuster/stable-diffusion-xl/r0fef53bft.png,1
synthbuster/stable-diffusion-xl/r0a9384b1t.png,1
synthbuster/stable-diffusion-xl/r1322c4d6t.png,1
synthbuster/stable-diffusion-xl/r19d47beft.png,1
synthbuster/stable-diffusion-xl/r1e14f45ct.png,1
synthbuster/stable-diffusion-xl/r0149a21ct.png,1
synthbuster/stable-diffusion-xl/r0eab8214t.png,1
synthbuster/stable-diffusion-xl/r0a31a2cct.png,1
synthbuster/stable-diffusion-xl/r08276bf9t.png,1
synthbuster/stable-diffusion-xl/r1c1e3ec9t.png,1
synthbuster/stable-diffusion-xl/r1661f358t.png,1
synthbuster/stable-diffusion-xl/r061e2ecft.png,1
synthbuster/stable-diffusion-xl/r152d9ff5t.png,1
synthbuster/stable-diffusion-xl/r01b6aed6t.png,1
synthbuster/stable-diffusion-xl/r1df374c1t.png,1
synthbuster/stable-diffusion-xl/r1de76a54t.png,1
synthbuster/stable-diffusion-xl/r052e9174t.png,1
synthbuster/stable-diffusion-xl/r1cad9823t.png,1
synthbuster/stable-diffusion-xl/r089cae91t.png,1
synthbuster/stable-diffusion-xl/r02189767t.png,1
synthbuster/stable-diffusion-xl/r07cf907dt.png,1
synthbuster/stable-diffusion-xl/r083ca67ct.png,1
synthbuster/stable-diffusion-xl/r0c795771t.png,1
synthbuster/stable-diffusion-xl/r053d2196t.png,1
synthbuster/stable-diffusion-xl/r1c5ec853t.png,1
synthbuster/stable-diffusion-xl/r00679daet.png,1
synthbuster/stable-diffusion-xl/r15028ceft.png,1
synthbuster/stable-diffusion-xl/r0b665b37t.png,1
synthbuster/stable-diffusion-xl/r1cc04f4ft.png,1
synthbuster/stable-diffusion-xl/r0b0cd69et.png,1
synthbuster/stable-diffusion-xl/r07e1e8cbt.png,1
